Library, Design Unit, compile Time, Peak Mem Usage
work, top, 0h:00m:00s,     96 MB
work, Multiplier, 0h:00m:00s,     96 MB
work, MULT2, 0h:00m:00s,     96 MB
work, ND2, 0h:00m:00s,     96 MB
work, CIC_60s_256s, 0h:00m:00s,     96 MB
work, nco_sig, 0h:00m:00s,     96 MB
work, SinCos, 0h:00m:00s,     96 MB
work, VLO, 0h:00m:00s,     96 MB
work, VHI, 0h:00m:00s,     96 MB
work, ROM256X1A, 0h:00m:00s,     96 MB
work, FADD2B, 0h:00m:00s,     96 MB
work, MUX21, 0h:00m:00s,     96 MB
work, FD1P3DX, 0h:00m:00s,     96 MB
work, AND2, 0h:00m:00s,     96 MB
work, ROM16X1A, 0h:00m:00s,     96 MB
work, XOR2, 0h:00m:00s,     96 MB
work, INV, 0h:00m:00s,     96 MB
work, PUR, 0h:00m:00s,     96 MB
work, OSCH, 0h:00m:00s,     96 MB
